expresar_ideas,buen_oyente,trabajo_equipo,rol_equipo,importancia_colaboracion,reaccion_problemas,nuevas_soluciones,adaptacion,aprender_nuevas_herramientas,manejo_tiempo,efectividad_tiempo,cuestionar_informacion,evaluar_puntos_vista
Muy cómodo,A veces,Muy cómodo,Facilitador,No es importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Incomodo,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Muy cómodo
Muy cómodo,"Sí, siempre",Muy cómodo,Seguidor,No es importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Incomodo
Muy cómodo,Generalmente sí,Muy cómodo,Seguidor,Importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Poco cómodo
Poco cómodo,A veces,Muy cómodo,Facilitador,Muy importante,Me rindo fácilmente,Ocasionalmente,Muy fácil,Neutral,Trabajo sin mucha planificación,Muy efectivo,Frecuentemente,Muy cómodo
Cómodo,"No, me cuesta prestar atención",Poco cómodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Raramente,Difícil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Siempre,Muy cómodo
Poco cómodo,"Sí, siempre",Incomodo,Líder,Muy importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Poco efectivo,Raramente,Cómodo
Incomodo,"Sí, siempre",Cómodo,Líder,Importante,Pido ayuda,Ocasionalmente,Difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Raramente,Poco cómodo
Muy cómodo,A veces,Muy cómodo,Facilitador,Muy importante,Pido ayuda,Raramente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Algunas veces,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,Seguidor,Muy importante,Busco soluciones inmediatamente,Muy frecuentemente,Difícil,Incomodo,Trabajo sin mucha planificación,Efectivo,Siempre,Incomodo
Cómodo,"No, me cuesta prestar atención",Poco cómodo,No tengo una preferencia clara,Muy importante,Pido ayuda,Frecuentemente,Difícil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Algunas veces,Poco cómodo
Cómodo,"No, me cuesta prestar atención",Poco cómodo,Líder,Muy importante,Me siento frustrado pero lo intento,Frecuentemente,Muy fácil,Interesado,Trabajo sin mucha planificación,Ineficiente,Siempre,Cómodo
Poco cómodo,Generalmente sí,Incomodo,Facilitador,No es importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Interesado,Trabajo sin mucha planificación,Muy efectivo,Algunas veces,Muy cómodo
Incomodo,A veces,Poco cómodo,Líder,Muy importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Muy efectivo,Siempre,Incomodo
Cómodo,"No, me cuesta prestar atención",Muy cómodo,Líder,No es importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Frecuentemente,Poco cómodo
Poco cómodo,Generalmente sí,Poco cómodo,Seguidor,Importante,Pido ayuda,Muy frecuentemente,Muy difícil,Incomodo,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Poco cómodo
Poco cómodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Difícil,Incomodo,Trabajo sin mucha planificación,Ineficiente,Raramente,Cómodo
Cómodo,"Sí, siempre",Muy cómodo,No tengo una preferencia clara,Poco importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy difícil,Incomodo,"Intento planificar, pero a veces me retraso",Muy efectivo,Raramente,Muy cómodo
Poco cómodo,Generalmente sí,Muy cómodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Frecuentemente,Fácil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Siempre,Incomodo
Cómodo,A veces,Muy cómodo,Seguidor,Muy importante,Busco soluciones inmediatamente,Ocasionalmente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Efectivo,Frecuentemente,Cómodo
Incomodo,Generalmente sí,Incomodo,Líder,Poco importante,Me rindo fácilmente,Ocasionalmente,Fácil,Entusiasmado,Trabajo sin mucha planificación,Poco efectivo,Algunas veces,Incomodo
Muy cómodo,Generalmente sí,Muy cómodo,Líder,No es importante,Pido ayuda,Muy frecuentemente,Difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Efectivo,Frecuentemente,Muy cómodo
Poco cómodo,"No, me cuesta prestar atención",Incomodo,Líder,Importante,Pido ayuda,Ocasionalmente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Ineficiente,Frecuentemente,Muy cómodo
Incomodo,Generalmente sí,Muy cómodo,Seguidor,Poco importante,Me siento frustrado pero lo intento,Ocasionalmente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Siempre,Incomodo
Muy cómodo,Generalmente sí,Cómodo,Líder,Muy importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy difícil,Interesado,Planifico con antelación y sigo mi plan,Poco efectivo,Algunas veces,Poco cómodo
Muy cómodo,"No, me cuesta prestar atención",Muy cómodo,Facilitador,Importante,Busco soluciones inmediatamente,Ocasionalmente,Difícil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Siempre,Cómodo
Muy cómodo,"No, me cuesta prestar atención",Muy cómodo,Seguidor,Muy importante,Pido ayuda,Frecuentemente,Fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Muy efectivo,Siempre,Cómodo
Cómodo,"Sí, siempre",Poco cómodo,Seguidor,Importante,Busco soluciones inmediatamente,Raramente,Fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Efectivo,Siempre,Cómodo
Incomodo,"Sí, siempre",Cómodo,Facilitador,Poco importante,Me rindo fácilmente,Ocasionalmente,Difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Frecuentemente,Incomodo
Cómodo,A veces,Muy cómodo,Facilitador,Poco importante,Pido ayuda,Frecuentemente,Muy fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Raramente,Muy cómodo
Muy cómodo,A veces,Muy cómodo,Líder,Muy importante,Me rindo fácilmente,Raramente,Muy fácil,Neutral,"Intento planificar, pero a veces me retraso",Efectivo,Raramente,Incomodo
Cómodo,Generalmente sí,Poco cómodo,Líder,Importante,Pido ayuda,Frecuentemente,Fácil,Neutral,Trabajo sin mucha planificación,Muy efectivo,Raramente,Muy cómodo
Incomodo,A veces,Muy cómodo,Seguidor,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Incomodo
Incomodo,Generalmente sí,Incomodo,Seguidor,Muy importante,Pido ayuda,Frecuentemente,Muy fácil,Interesado,Trabajo sin mucha planificación,Muy efectivo,Algunas veces,Poco cómodo
Muy cómodo,A veces,Poco cómodo,Facilitador,Importante,Me rindo fácilmente,Raramente,Muy fácil,Interesado,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Poco cómodo
Poco cómodo,A veces,Muy cómodo,No tengo una preferencia clara,Muy importante,Me rindo fácilmente,Muy frecuentemente,Fácil,Interesado,Planifico con antelación y sigo mi plan,Efectivo,Algunas veces,Incomodo
Muy cómodo,"No, me cuesta prestar atención",Incomodo,Líder,Importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy fácil,Entusiasmado,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Incomodo
Poco cómodo,"No, me cuesta prestar atención",Cómodo,Líder,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Difícil,Incomodo,Planifico con antelación y sigo mi plan,Muy efectivo,Raramente,Muy cómodo
Cómodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,Importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Efectivo,Frecuentemente,Incomodo
Incomodo,Generalmente sí,Muy cómodo,No tengo una preferencia clara,No es importante,Me siento frustrado pero lo intento,Frecuentemente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Ineficiente,Raramente,Poco cómodo
Incomodo,A veces,Poco cómodo,Facilitador,Importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Neutral,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Incomodo
Poco cómodo,A veces,Cómodo,Facilitador,No es importante,Me rindo fácilmente,Ocasionalmente,Difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Raramente,Poco cómodo
Incomodo,A veces,Poco cómodo,Facilitador,Importante,Pido ayuda,Frecuentemente,Fácil,Incomodo,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Cómodo
Incomodo,"Sí, siempre",Muy cómodo,Facilitador,Poco importante,Busco soluciones inmediatamente,Raramente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Muy efectivo,Raramente,Poco cómodo
Incomodo,"Sí, siempre",Cómodo,Líder,Poco importante,Me rindo fácilmente,Frecuentemente,Muy fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Algunas veces,Cómodo
Poco cómodo,Generalmente sí,Muy cómodo,Líder,Muy importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Neutral,Trabajo sin mucha planificación,Efectivo,Algunas veces,Incomodo
Muy cómodo,"No, me cuesta prestar atención",Incomodo,Líder,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Raramente,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Raramente,Difícil,Interesado,Planifico con antelación y sigo mi plan,Poco efectivo,Siempre,Incomodo
Poco cómodo,A veces,Cómodo,No tengo una preferencia clara,Importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Entusiasmado,Trabajo sin mucha planificación,Efectivo,Frecuentemente,Incomodo
Muy cómodo,"No, me cuesta prestar atención",Cómodo,Facilitador,Muy importante,Me siento frustrado pero lo intento,Raramente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Siempre,Cómodo
Muy cómodo,"Sí, siempre",Poco cómodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Fácil,Entusiasmado,Trabajo sin mucha planificación,Efectivo,Algunas veces,Muy cómodo
Poco cómodo,A veces,Incomodo,Seguidor,Importante,Busco soluciones inmediatamente,Frecuentemente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Ineficiente,Siempre,Muy cómodo
Cómodo,A veces,Muy cómodo,Líder,Importante,Me siento frustrado pero lo intento,Frecuentemente,Muy difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Efectivo,Raramente,Incomodo
Incomodo,"Sí, siempre",Poco cómodo,Facilitador,Muy importante,Busco soluciones inmediatamente,Frecuentemente,Difícil,Interesado,Trabajo sin mucha planificación,Muy efectivo,Raramente,Incomodo
Poco cómodo,A veces,Cómodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Raramente,Muy fácil,Interesado,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Cómodo
Incomodo,Generalmente sí,Cómodo,Seguidor,Muy importante,Me rindo fácilmente,Ocasionalmente,Difícil,Incomodo,Planifico con antelación y sigo mi plan,Efectivo,Algunas veces,Incomodo
Poco cómodo,Generalmente sí,Cómodo,Seguidor,Importante,Pido ayuda,Muy frecuentemente,Muy difícil,Incomodo,Planifico con antelación y sigo mi plan,Muy efectivo,Frecuentemente,Cómodo
Incomodo,Generalmente sí,Incomodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Incomodo
Poco cómodo,"Sí, siempre",Cómodo,Seguidor,Poco importante,Me rindo fácilmente,Frecuentemente,Difícil,Interesado,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Cómodo
Poco cómodo,Generalmente sí,Incomodo,Líder,Muy importante,Pido ayuda,Frecuentemente,Muy difícil,Interesado,Planifico con antelación y sigo mi plan,Ineficiente,Algunas veces,Poco cómodo
Incomodo,"No, me cuesta prestar atención",Muy cómodo,Líder,Poco importante,Busco soluciones inmediatamente,Muy frecuentemente,Difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Ineficiente,Algunas veces,Poco cómodo
Muy cómodo,"Sí, siempre",Incomodo,No tengo una preferencia clara,Muy importante,Pido ayuda,Raramente,Muy fácil,Entusiasmado,Trabajo sin mucha planificación,Muy efectivo,Siempre,Poco cómodo
Cómodo,"No, me cuesta prestar atención",Cómodo,Líder,No es importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Efectivo,Algunas veces,Incomodo
Muy cómodo,Generalmente sí,Muy cómodo,No tengo una preferencia clara,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Algunas veces,Cómodo
Cómodo,A veces,Incomodo,Líder,Muy importante,Me rindo fácilmente,Raramente,Fácil,Interesado,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Muy cómodo
Cómodo,A veces,Poco cómodo,Líder,No es importante,Pido ayuda,Ocasionalmente,Fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Ineficiente,Frecuentemente,Cómodo
Cómodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,Importante,Pido ayuda,Frecuentemente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Muy efectivo,Raramente,Muy cómodo
Poco cómodo,"No, me cuesta prestar atención",Muy cómodo,No tengo una preferencia clara,Poco importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Incomodo,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Poco cómodo
Poco cómodo,"Sí, siempre",Poco cómodo,Seguidor,No es importante,Me siento frustrado pero lo intento,Raramente,Fácil,Neutral,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Cómodo
Poco cómodo,Generalmente sí,Muy cómodo,Facilitador,Muy importante,Busco soluciones inmediatamente,Ocasionalmente,Muy fácil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Incomodo
Cómodo,Generalmente sí,Cómodo,Líder,Muy importante,Me siento frustrado pero lo intento,Raramente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Efectivo,Algunas veces,Muy cómodo
Muy cómodo,"No, me cuesta prestar atención",Muy cómodo,Facilitador,Muy importante,Pido ayuda,Raramente,Difícil,Incomodo,Trabajo sin mucha planificación,Muy efectivo,Frecuentemente,Incomodo
Incomodo,A veces,Incomodo,Líder,Importante,Busco soluciones inmediatamente,Raramente,Difícil,Incomodo,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Incomodo
Poco cómodo,Generalmente sí,Incomodo,Facilitador,Importante,Busco soluciones inmediatamente,Raramente,Difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Siempre,Cómodo
Poco cómodo,Generalmente sí,Poco cómodo,Seguidor,Poco importante,Me siento frustrado pero lo intento,Muy frecuentemente,Difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Muy efectivo,Siempre,Cómodo
Cómodo,"No, me cuesta prestar atención",Muy cómodo,Facilitador,No es importante,Busco soluciones inmediatamente,Raramente,Difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Muy cómodo
Cómodo,"No, me cuesta prestar atención",Cómodo,Seguidor,Importante,Pido ayuda,Muy frecuentemente,Fácil,Incomodo,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Cómodo
Incomodo,"No, me cuesta prestar atención",Muy cómodo,Facilitador,Importante,Pido ayuda,Muy frecuentemente,Fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Poco efectivo,Algunas veces,Incomodo
Incomodo,"Sí, siempre",Incomodo,Facilitador,Poco importante,Me siento frustrado pero lo intento,Muy frecuentemente,Fácil,Incomodo,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Muy cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy difícil,Incomodo,"Intento planificar, pero a veces me retraso",Ineficiente,Siempre,Cómodo
Poco cómodo,Generalmente sí,Cómodo,Líder,Importante,Pido ayuda,Raramente,Muy difícil,Interesado,Planifico con antelación y sigo mi plan,Ineficiente,Siempre,Cómodo
Incomodo,Generalmente sí,Incomodo,No tengo una preferencia clara,Muy importante,Busco soluciones inmediatamente,Ocasionalmente,Fácil,Interesado,Trabajo sin mucha planificación,Muy efectivo,Siempre,Muy cómodo
Incomodo,"Sí, siempre",Poco cómodo,No tengo una preferencia clara,Muy importante,Me rindo fácilmente,Raramente,Fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Efectivo,Algunas veces,Cómodo
Muy cómodo,Generalmente sí,Poco cómodo,Facilitador,Importante,Pido ayuda,Ocasionalmente,Fácil,Incomodo,"Intento planificar, pero a veces me retraso",Ineficiente,Siempre,Incomodo
Cómodo,Generalmente sí,Cómodo,Facilitador,Muy importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy fácil,Incomodo,Planifico con antelación y sigo mi plan,Poco efectivo,Siempre,Incomodo
Incomodo,Generalmente sí,Poco cómodo,Líder,No es importante,Me siento frustrado pero lo intento,Muy frecuentemente,Difícil,Neutral,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Muy cómodo
Incomodo,A veces,Cómodo,Líder,No es importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy fácil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Raramente,Incomodo
Poco cómodo,"Sí, siempre",Cómodo,Seguidor,Muy importante,Me rindo fácilmente,Ocasionalmente,Difícil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Algunas veces,Cómodo
Cómodo,"No, me cuesta prestar atención",Cómodo,Líder,Poco importante,Pido ayuda,Raramente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Cómodo
Poco cómodo,"Sí, siempre",Poco cómodo,Seguidor,Muy importante,Me siento frustrado pero lo intento,Ocasionalmente,Difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Ineficiente,Algunas veces,Poco cómodo
Poco cómodo,Generalmente sí,Muy cómodo,Seguidor,Poco importante,Pido ayuda,Frecuentemente,Fácil,Incomodo,Planifico con antelación y sigo mi plan,Efectivo,Frecuentemente,Cómodo
Muy cómodo,Generalmente sí,Incomodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Muy fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Efectivo,Raramente,Muy cómodo
Muy cómodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Importante,Me siento frustrado pero lo intento,Frecuentemente,Difícil,Incomodo,Planifico con antelación y sigo mi plan,Efectivo,Raramente,Muy cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,Líder,No es importante,Pido ayuda,Frecuentemente,Muy difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Cómodo
Muy cómodo,A veces,Muy cómodo,No tengo una preferencia clara,Muy importante,Pido ayuda,Muy frecuentemente,Muy fácil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Raramente,Muy cómodo
Incomodo,Generalmente sí,Poco cómodo,Facilitador,Poco importante,Busco soluciones inmediatamente,Ocasionalmente,Muy fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Muy cómodo
Muy cómodo,"Sí, siempre",Muy cómodo,Facilitador,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Frecuentemente,Muy cómodo
Poco cómodo,Generalmente sí,Cómodo,Seguidor,Poco importante,Me siento frustrado pero lo intento,Raramente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Poco efectivo,Siempre,Cómodo
Poco cómodo,"No, me cuesta prestar atención",Muy cómodo,Líder,No es importante,Me rindo fácilmente,Frecuentemente,Muy fácil,Neutral,Planifico con antelación y sigo mi plan,Ineficiente,Siempre,Cómodo
Poco cómodo,Generalmente sí,Poco cómodo,Facilitador,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Muy difícil,Incomodo,Trabajo sin mucha planificación,Muy efectivo,Algunas veces,Muy cómodo
Muy cómodo,"Sí, siempre",Muy cómodo,Seguidor,No es importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Incomodo,Planifico con antelación y sigo mi plan,Efectivo,Siempre,Muy cómodo
Incomodo,A veces,Incomodo,Seguidor,Muy importante,Busco soluciones inmediatamente,Ocasionalmente,Muy fácil,Entusiasmado,Trabajo sin mucha planificación,Ineficiente,Frecuentemente,Cómodo
Muy cómodo,A veces,Incomodo,Seguidor,Importante,Pido ayuda,Ocasionalmente,Fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Poco efectivo,Siempre,Muy cómodo
Poco cómodo,"Sí, siempre",Poco cómodo,Líder,Importante,Busco soluciones inmediatamente,Raramente,Muy fácil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Frecuentemente,Cómodo
Cómodo,A veces,Cómodo,Facilitador,No es importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Muy efectivo,Siempre,Cómodo
Cómodo,"Sí, siempre",Cómodo,Líder,Muy importante,Pido ayuda,Frecuentemente,Muy fácil,Neutral,"Intento planificar, pero a veces me retraso",Ineficiente,Frecuentemente,Poco cómodo
Incomodo,"Sí, siempre",Cómodo,Facilitador,Muy importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Raramente,Poco cómodo
Incomodo,Generalmente sí,Cómodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Muy efectivo,Algunas veces,Muy cómodo
Muy cómodo,"Sí, siempre",Poco cómodo,No tengo una preferencia clara,Muy importante,Busco soluciones inmediatamente,Muy frecuentemente,Difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Cómodo
Incomodo,Generalmente sí,Muy cómodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Fácil,Incomodo,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Incomodo
Poco cómodo,"No, me cuesta prestar atención",Muy cómodo,Seguidor,Importante,Me siento frustrado pero lo intento,Frecuentemente,Difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Poco efectivo,Algunas veces,Poco cómodo
Muy cómodo,"No, me cuesta prestar atención",Cómodo,Facilitador,Poco importante,Busco soluciones inmediatamente,Ocasionalmente,Muy difícil,Interesado,Planifico con antelación y sigo mi plan,Ineficiente,Algunas veces,Muy cómodo
Muy cómodo,"Sí, siempre",Incomodo,No tengo una preferencia clara,No es importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Interesado,Planifico con antelación y sigo mi plan,Ineficiente,Algunas veces,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Cómodo,Seguidor,No es importante,Pido ayuda,Frecuentemente,Difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Efectivo,Algunas veces,Muy cómodo
Incomodo,"Sí, siempre",Poco cómodo,Líder,Poco importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Neutral,Trabajo sin mucha planificación,Muy efectivo,Raramente,Incomodo
Cómodo,Generalmente sí,Cómodo,Facilitador,Muy importante,Me rindo fácilmente,Ocasionalmente,Fácil,Neutral,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Incomodo
Cómodo,Generalmente sí,Incomodo,Facilitador,Importante,Pido ayuda,Ocasionalmente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Ineficiente,Frecuentemente,Muy cómodo
Poco cómodo,Generalmente sí,Cómodo,Facilitador,Importante,Pido ayuda,Ocasionalmente,Muy fácil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Raramente,Muy cómodo
Cómodo,"Sí, siempre",Poco cómodo,Facilitador,No es importante,Me siento frustrado pero lo intento,Muy frecuentemente,Fácil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Siempre,Muy cómodo
Poco cómodo,"No, me cuesta prestar atención",Incomodo,Facilitador,Importante,Me siento frustrado pero lo intento,Ocasionalmente,Difícil,Neutral,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Poco cómodo
Incomodo,"No, me cuesta prestar atención",Cómodo,Líder,No es importante,Pido ayuda,Muy frecuentemente,Fácil,Incomodo,Trabajo sin mucha planificación,Ineficiente,Raramente,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Muy cómodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Frecuentemente,Difícil,Interesado,Trabajo sin mucha planificación,Muy efectivo,Siempre,Muy cómodo
Incomodo,A veces,Cómodo,Facilitador,Poco importante,Pido ayuda,Ocasionalmente,Difícil,Interesado,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Cómodo
Cómodo,Generalmente sí,Cómodo,Facilitador,No es importante,Pido ayuda,Muy frecuentemente,Difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Algunas veces,Poco cómodo
Incomodo,"Sí, siempre",Muy cómodo,Líder,Poco importante,Pido ayuda,Raramente,Muy fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Ineficiente,Siempre,Incomodo
Incomodo,Generalmente sí,Cómodo,Líder,No es importante,Me rindo fácilmente,Frecuentemente,Muy fácil,Interesado,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Poco cómodo
Cómodo,A veces,Muy cómodo,Seguidor,Importante,Busco soluciones inmediatamente,Raramente,Muy fácil,Interesado,Trabajo sin mucha planificación,Muy efectivo,Algunas veces,Cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,Líder,Importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Siempre,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,Seguidor,Poco importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Siempre,Poco cómodo
Poco cómodo,A veces,Muy cómodo,Líder,No es importante,Pido ayuda,Raramente,Difícil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Raramente,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Incomodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Muy frecuentemente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Frecuentemente,Poco cómodo
Cómodo,"No, me cuesta prestar atención",Cómodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Raramente,Fácil,Incomodo,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Muy cómodo
